country,mean_temp,n
Mongolia,4.900380228136882,789
Iceland,5.714720812182741,788
Canada,5.737944162436548,788
Norway,8.26828963795256,801
Andorra,8.89379746835443,790
United States of America,9.010687022900763,786
Finland,9.082405063291139,790
Russia,9.099052132701422,844
Estonia,9.35736040609137,788
Kazakhstan,9.6787072243346,789
Lithuania,9.756527249683142,789
Belarus,10.030164765525983,789
Sweden,10.054119138149556,789
Latvia,10.059010152284264,788
Liechtenstein,10.202281368821293,789
Ecuador,10.429936305732484,785
Switzerland,10.567857142857143,840
Chile,10.890724269377383,787
Ireland,10.975095298602287,787
Denmark,11.01761723700887,789
Luxembourg,11.073951715374841,787
Czech Republic,11.278680203045687,788
Poland,11.846902654867256,791
Germany,12.08,790
United Kingdom,12.35253807106599,788
Ukraine,12.40543615676359,791
Netherlands,12.55873417721519,790
Belgium,12.639353099730458,1484
Bosnia and Herzegovina,12.981012658227849,790
Austria,13.124968314321928,789
Slovenia,13.180886075949367,790
France,13.486438529784536,789
Slovakia,13.61987341772152,790
Bhutan,13.726776649746194,788
Hungary,13.831642778390297,907
New Zealand,13.939290240811154,789
Uruguay,14.178453738910012,789
Croatia,14.314993646759847,787
Argentina,14.493654822335026,788
Mexico,14.784096692111959,786
Bulgaria,14.793204419889504,1810
North Korea,14.941497461928934,788
Australia,15.307206068268016,791
Serbia,15.496329113924052,790
Romania,15.742766497461927,788
Spain,15.903291139240507,790
Macedonia,16.730994897959185,784
Turkey,16.785587301587302,1575
Portugal,16.935234474017744,789
San Marino,17.00012706480305,787
Armenia,17.050379746835443,790
Bolivia,17.088392857142857,1568
South Korea,17.23510773130545,789
Guatemala,17.354150702426562,783
Georgia,17.3574332909784,787
Kyrghyzstan,17.71875792141952,789
Monaco,18.095419847328245,786
Peru,18.11324840764331,785
Lesotho,18.180837563451778,788
Morocco,18.42246192893401,788
Vatican City,18.5834386852086,791
Italy,18.59886075949367,790
China,18.838071065989848,788
Montenegro,18.866116751269036,788
Azerbaijan,19.09467680608365,789
Costa Rica,19.17992327365729,782
Albania,19.399112801013942,789
Ethiopia,19.432192648922687,789
Afghanistan,19.445949367088605,790
Honduras,19.465605095541402,785
South Africa,19.74025316455696,790
Iran,19.751074918566776,1535
Japan,20.135018963337547,791
Algeria,20.25291878172589,788
Namibia,20.636329113924052,790
Paraguay,20.8489226869455,789
Kenya,21.1635101010101,792
Eritrea,21.211378002528445,791
Haiti,21.32579415501906,787
Swaziland,21.35436241610738,745
Jordan,21.469620253164557,790
Syria,21.4723700887199,789
Botswana,21.692902408111536,789
Tunisia,21.707106598984772,788
Malta,21.852085967130215,791
Greece,21.94554707379135,786
Belize,22.16496815286624,785
Yemen,22.174841972187103,791
Zimbabwe,22.219416243654823,788
Venezuela,22.336040609137054,788
Uzbekistan,22.619595448798986,791
Cuba,22.810432569974555,786
Cote d'Ivoire,22.836890243902438,328
Tajikistan,22.90279187817259,788
Turkmenistan,23.051837769328266,789
Israel,23.096070975918884,789
Lebanon,23.104309252218,789
Nepal,23.272496831432193,789
Rwanda,23.310759493670886,790
Mauritania,23.342458808618506,789
Malawi,23.435569620253162,790
Zambia,23.436202531645566,790
El Salvador,23.490038314176246,783
Cape Verde,23.86392405063291,790
Tonga,23.90482233502538,788
Dominican Republic,23.97547649301144,787
Brazil,24.049363867684477,786
Cyprus,24.269746835443037,790
Suriname,24.337738246505715,787
Senegal,24.42901678657074,834
Nicaragua,24.563010204081635,784
Guyana,24.611450381679386,786
Tanzania,24.731305449936627,789
Gambia,24.75814249363868,786
Fiji Islands,24.77278481012658,790
Bahamas,24.784183673469386,784
Uganda,24.972911392405063,790
Mozambique,24.99354430379747,790
Trinidad and Tobago,25.144472681067345,787
Vanuatu,25.162911392405064,790
Cameroon,25.180228136882132,789
Madagascar,25.18133012820513,1248
Guinea-Bissau,25.29429657794677,789
Egypt,25.303299492385786,788
Burundi,25.476991150442476,791
Panama,25.56353240152478,787
Angola,25.742911392405066,790
Liberia,25.796070975918884,789
Sierra Leone,25.852986022871665,787
Guinea,26.056527249683143,789
Samoa,26.060841836734696,784
Democratic Republic of Congo,26.144218551461247,787
Congo,26.274332909783993,787
Antigua and Barbuda,26.333842239185753,786
Timor-Leste,26.466793893129772,786
Dominica,26.521628498727736,786
Mali,26.521799746514578,789
Gabon,26.537135614702155,789
Saint Kitts and Nevis,26.614340101522842,788
Mauritius,26.626489226869452,789
Comoros,26.67039390088945,787
Equatorial Guinea,26.818836915297094,791
Nigeria,26.864556962025315,790
Jamaica,26.868106734434562,787
Papua New Guinea,26.912531645569622,790
Barbados,26.9991116751269,788
Saint Lucia,27.03574144486692,789
Grenada,27.07908163265306,784
Ghana,27.156510745891275,791
Saint Vincent and the Grenadines,27.23138500635324,787
Vietnam,27.332717041800645,1244
Solomon Islands,27.49506329113924,790
Central African Republic,27.521166032953108,789
Burkina Faso,27.855696202531647,790
Maldives,27.949809402795427,787
Kiribati,28.052538071065992,788
Benin,28.085424588086187,789
Micronesia,28.29148665819568,787
Marshall Islands,28.302025316455694,790
Palau,28.460406091370558,788
Indonesia,28.476169405815426,1582
Somalia,28.73477157360406,788
Pakistan,28.788324873096446,788
Seychelles Islands,28.826810673443457,787
Tuvalu,28.83898734177215,790
Niger,28.968860759493673,790
Iraq,29.02212389380531,791
Chad,29.223640960809103,791
Brunei Darussalam,29.64238578680203,788
Bahrain,29.80759493670886,790
Sudan,29.953460317460316,1575
Singapore,30.003037974683547,790
Sri Lanka,30.248481012658228,790
India,30.417893401015228,788
Philippines,30.517617237008874,789
Malaysia,30.666032953105198,789
Saudi Arabia,30.835107731305452,789
Myanmar,30.844430379746832,790
Kuwait,31.10747782002535,789
Thailand,31.247084917617236,1578
Bangladesh,31.249049429657795,789
Djibouti,31.415374841168997,787
Oman,31.89113924050633,790
Cambodia,32.042585551330795,789
United Arab Emirates,32.35620253164557,790
Qatar,32.56535532994924,788
